year,state,label,orders,delivered,sales_orders,sales_cents,eligible,late,days_sum,review_sum,reviewed
2016,AL,2016-10,2,1,1,4999,1,0,33.06432870356366,4.0,1
2016,BA,2016-10,4,3,3,24488,3,0,62.33998842537403,13.0,3
2016,CE,2016-10,8,6,6,164968,6,0,163.39646990736946,29.0,6
2016,DF,2016-10,6,6,6,104377,6,0,137.94388888869435,19.0,6
2016,ES,2016-10,4,3,3,85979,3,0,74.40233796276152,12.0,3
2016,GO,2016-10,9,7,7,90449,7,0,98.9602662040852,33.0,7
2016,MA,2016-10,4,4,4,70426,4,0,112.97233796259388,14.0,3
2016,MG,2016-10,40,35,35,427495,35,0,693.5048263887875,128.0,34
2016,MT,2016-10,3,1,1,4780,1,0,7.024340278003365,5.0,1
2016,PA,2016-10,4,4,4,108760,4,0,109.99869212973863,17.0,4
2016,PB,2016-10,1,1,1,4990,1,0,37.71947916643694,5.0,1
2016,PE,2016-10,7,6,6,124960,6,0,108.22432870371267,26.0,6
2016,PI,2016-10,1,1,1,21000,1,0,27.183784722350538,4.0,1
2016,PR,2016-10,19,19,19,200461,19,0,325.515625,74.0,19
2016,PR,2016-12,1,1,1,1090,1,0,4.693020833656192,5.0,1
2016,RJ,2016-10,56,40,40,821728,40,0,767.34517361084,154.0,39
2016,RN,2016-10,4,4,4,72869,4,0,108.71627314807847,20.0,4
2016,RR,2016-09,1,0,0,0,0,0,0,0,0
2016,RR,2016-10,1,1,1,3970,1,0,8.583067129831761,4.0,1
2016,RS,2016-09,1,0,0,0,0,0,0,0,0
2016,RS,2016-10,24,17,17,252355,17,0,321.9175694449805,69.0,17
2016,SC,2016-10,11,9,9,223806,9,0,165.16297453735024,35.0,9
2016,SE,2016-10,3,3,3,28545,3,0,91.50981481419876,14.0,3
2016,SP,2016-09,2,1,1,13497,1,1,54.81319444440305,1.0,1
2016,SP,2016-10,113,94,94,1191106,94,2,1738.6625115708448,372.0,94
2017,AC,2017-01,2,2,2,58960,2,0,41.670543981250376,4.0,2
2017,AC,2017-02,3,3,3,45040,3,0,77.2620949074626,15.0,3
2017,AC,2017-03,2,2,2,45599,2,0,40.33385416632518,9.0,2
2017,AC,2017-04,5,5,5,116238,5,0,129.95307870348915,16.0,5
2017,AC,2017-05,8,8,8,209439,8,0,159.7464351844974,33.0,8
2017,AC,2017-06,4,4,4,38578,4,0,74.76550925895572,19.0,4
2017,AC,2017-07,5,5,5,61869,5,0,91.31486111180857,22.0,5
2017,AC,2017-08,4,4,4,63793,4,0,72.28028935194016,15.0,4
2017,AC,2017-09,5,5,5,178689,5,1,133.48877314804122,20.0,5
2017,AC,2017-10,6,5,5,68322,5,0,65.71635416708887,19.0,5
2017,AC,2017-11,5,5,5,64992,5,1,120.37997685186565,18.0,5
2017,AC,2017-12,5,5,5,110078,5,0,109.59509259229526,24.0,5
2017,AL,2017-01,2,2,2,39397,2,0,30.890428240876645,6.0,2
2017,AL,2017-02,12,12,12,261603,12,1,344.71819444419816,52.0,12
2017,AL,2017-03,10,10,10,117479,10,2,235.0651620370336,41.0,10
2017,AL,2017-04,23,21,21,456912,21,8,649.7832407411188,67.0,21
2017,AL,2017-05,27,26,26,469925,26,2,581.2979629640467,99.0,25
2017,AL,2017-06,10,10,10,95165,10,3,261.72565972199664,34.0,10
2017,AL,2017-07,17,15,15,223894,15,7,468.08543981518596,48.0,14
2017,AL,2017-08,18,17,17,888927,17,3,425.9197222213261,67.0,17
2017,AL,2017-09,20,19,19,430539,19,8,595.7799999988638,68.0,19
2017,AL,2017-10,28,28,28,534436,28,2,570.6587962973863,116.0,28
2017,AL,2017-11,26,26,26,593626,26,5,602.5609490736388,105.0,26
2017,AL,2017-12,14,12,12,222387,12,0,261.28599537117407,53.0,12
2017,AM,2017-02,8,8,8,90289,8,0,134.72439814871177,39.0,8
2017,AM,2017-03,5,5,5,63139,5,0,147.4746643519029,25.0,5
2017,AM,2017-04,13,13,13,83638,13,0,270.7217245376669,59.0,13
2017,AM,2017-05,10,8,8,101677,8,1,262.0997685189359,31.0,8
2017,AM,2017-06,1,1,1,16999,1,0,5.5345254628919065,2.0,1
2017,AM,2017-07,5,5,5,70560,5,0,93.59359953645617,19.0,5
2017,AM,2017-08,5,5,5,127660,5,0,118.32682870468125,23.0,5
2017,AM,2017-09,9,9,9,116328,9,0,218.31013888958842,33.0,8
2017,AM,2017-10,3,3,3,7088,3,0,58.87326388899237,15.0,3
2017,AM,2017-11,10,10,10,263525,10,0,342.24761574016884,47.0,10
2017,AM,2017-12,6,6,6,102946,6,0,221.26519675878808,28.0,6
2017,AP,2017-02,2,2,2,54985,2,0,34.36150462925434,9.0,2
2017,AP,2017-03,3,3,3,30379,3,2,236.5360300927423,14.0,3
2017,AP,2017-05,5,4,4,122089,4,0,74.11821759259328,18.0,4
2017,AP,2017-06,2,2,2,25270,2,0,51.101574074011296,9.0,2
2017,AP,2017-07,1,1,1,25990,1,0,16.832905092742294,4.0,1
2017,AP,2017-08,3,3,3,28979,3,0,67.04501157440245,13.0,3
2017,AP,2017-09,2,2,2,36460,2,0,39.24454861134291,10.0,2
2017,AP,2017-10,3,3,3,159185,3,0,56.07351851882413,13.0,3
2017,AP,2017-11,4,4,4,51188,4,0,111.80263888929039,18.0,4
2017,AP,2017-12,4,4,4,60190,4,0,122.1759606488049,16.0,4
2017,BA,2017-01,25,24,24,378802,24,1,360.05403935164213,96.0,24
2017,BA,2017-02,59,58,58,699078,58,5,1251.2162847225554,228.0,58
2017,BA,2017-03,91,87,87,1546832,87,7,1775.3436458338983,327.0,85
2017,BA,2017-04,93,84,84,1786315,84,12,2397.731388887856,331.0,83
2017,BA,2017-05,127,119,119,1603166,119,4,1999.2509375023656,470.0,119
2017,BA,2017-06,106,103,103,2010967,103,8,1889.9825810198672,380.0,102
2017,BA,2017-07,155,144,144,1846974,144,7,2606.2122800908983,589.0,143
2017,BA,2017-08,158,152,152,2513447,152,5,2332.2611805531196,631.0,150
2017,BA,2017-09,170,167,167,2365890,167,28,3191.9903703690507,667.0,165
2017,BA,2017-10,166,158,158,2331992,158,16,2878.8993865726516,613.0,157
2017,BA,2017-11,250,243,243,2881904,243,36,4947.388043985702,943.5,242
2017,BA,2017-12,192,188,188,2779977,188,24,4213.201377314515,737.0,185
2017,CE,2017-01,9,8,8,89449,8,1,204.51787037076429,32.0,8
2017,CE,2017-02,13,13,13,209506,13,1,278.28599537024274,57.0,13
2017,CE,2017-03,28,26,26,596998,26,8,753.6757523147389,79.0,26
2017,CE,2017-04,43,42,42,573183,42,5,1214.7453240719624,166.0,42
2017,CE,2017-05,62,62,62,1046627,62,1,1028.2291435170919,274.0,62
2017,CE,2017-06,47,44,44,956020,44,0,730.2840856486,180.0,43
2017,CE,2017-07,53,53,53,775952,53,0,892.4731481475756,229.0,53
2017,CE,2017-08,73,73,73,1064266,73,1,1175.5620023161173,329.0,73
2017,CE,2017-09,77,74,74,1665293,74,2,1134.3711226861924,310.0,74
2017,CE,2017-10,66,63,63,1205302,63,3,1236.400300923735,244.0,62
