customer_state,eligible_orders,late_orders,late_pct
SP,40494,1820,4.494493011310317
RJ,12350,1495,12.105263157894736
MG,11354,519,4.571076272679232
BA,3256,396,12.162162162162161
RS,5344,325,6.081586826347305
SC,3546,291,8.20642978003384
ES,1995,214,10.726817042606516
PR,4923,199,4.042250660166565
CE,1279,176,13.760750586395622
PE,1593,153,9.6045197740113
GO,1957,128,6.540623403168114
MA,717,125,17.433751743375176
DF,2080,118,5.673076923076923
PA,946,106,11.20507399577167
AL,397,85,21.410579345088163
MS,701,68,9.70042796005706
PI,476,66,13.865546218487395
PB,517,54,10.444874274661508
MT,886,53,5.981941309255079
SE,335,51,15.223880597014926
RN,474,44,9.282700421940929
TO,274,27,9.854014598540147
RO,243,7,2.880658436213992
AM,145,4,2.7586206896551726
